Filename,Name,Type,Has_X,Has_Y,Has_Alpha,Has_CL,Error
e203.dat,E203  (13.64%),coordinates,Yes,Yes,No,No,
e205.dat,E205  (10.48%),coordinates,Yes,Yes,No,No,
e207.dat,E207  (12.04%),coordinates,Yes,Yes,No,No,
e209.dat,E209  (13.72%),coordinates,Yes,Yes,No,No,
e210.dat,E210  (13.64%),coordinates,Yes,Yes,No,No,
e211.dat,E211  (10.96%),coordinates,Yes,Yes,No,No,
e212.dat,E212  (10.55%),coordinates,Yes,Yes,No,No,
e214.dat,E214  (11.1%),coordinates,Yes,Yes,No,No,
e216.dat,E216  (10.4%),coordinates,Yes,Yes,No,No,
e220.dat,E220  (11.48%),coordinates,Yes,Yes,No,No,
e221.dat,E221  (9.39%),coordinates,Yes,Yes,No,No,
e222.dat,E222  (10.17%),coordinates,Yes,Yes,No,No,
e224.dat,E224  (10.17%),coordinates,Yes,Yes,No,No,
e226.dat,E226  (10.19%),coordinates,Yes,Yes,No,No,
e228.dat,E10(08%),coordinates,Yes,Yes,No,No,
e230.dat,E230  (9.96%),coordinates,Yes,Yes,No,No,
e231.dat,E231,coordinates,Yes,Yes,No,No,
e266.dat,EPPLER 266 AIRFOIL,coordinates,Yes,Yes,No,No,
e297.dat,EPPLER 297 AIRFOIL,coordinates,Yes,Yes,No,No,
e325.dat,EPPLER 325 AIRFOIL,coordinates,Yes,Yes,No,No,
e326.dat,EPPLER 326 AIRFOIL,coordinates,Yes,Yes,No,No,
e327.dat,EPPLER 327 AIRFOIL,coordinates,Yes,Yes,No,No,
e328.dat,EPPLER 328 AIRFOIL,coordinates,Yes,Yes,No,No,
e329.dat,EPPLER 329 AIRFOIL,coordinates,Yes,Yes,No,No,
e330.dat,EPPLER 330 AIRFOIL,coordinates,Yes,Yes,No,No,
e331.dat,EPPLER 331 AIRFOIL,coordinates,Yes,Yes,No,No,
e332.dat,EPPLER 332 AIRFOIL,coordinates,Yes,Yes,No,No,
e333.dat,EPPLER 333 AIRFOIL,coordinates,Yes,Yes,No,No,
e334.dat,EPPLER 334 AIRFOIL,coordinates,Yes,Yes,No,No,
e335.dat,EPPLER 335 AIRFOIL,coordinates,Yes,Yes,No,No,
e336.dat,EPPLER 336 AIRFOIL,coordinates,Yes,Yes,No,No,
e337.dat,EPPLER 337 AIRFOIL,coordinates,Yes,Yes,No,No,
e338.dat,EPPLER 338 AIRFOIL,coordinates,Yes,Yes,No,No,
e339.dat,EPPLER 339 AIRFOIL,coordinates,Yes,Yes,No,No,
e340.dat,EPPLER 340 AIRFOIL,coordinates,Yes,Yes,No,No,
e341.dat,EPPLER 341 AIRFOIL,coordinates,Yes,Yes,No,No,
e342.dat,EPPLER 342 AIRFOIL,coordinates,Yes,Yes,No,No,
e343.dat,EPPLER 343 AIRFOIL,coordinates,Yes,Yes,No,No,
e344.dat,EPPLER 344 AIRFOIL,coordinates,Yes,Yes,No,No,
e360.dat,EPPLER 360 AIRFOIL,coordinates,Yes,Yes,No,No,
e361.dat,EPPLER 361 AIRFOIL,coordinates,Yes,Yes,No,No,
e374.dat,E374,coordinates,Yes,Yes,No,No,
e376.dat,EPPLER 376 AIRFOIL,coordinates,Yes,Yes,No,No,
e377.dat,EPPLER 377 AIRFOIL,coordinates,Yes,Yes,No,No,
e377m.dat,EPPLER 377 (MODIFIED) AIRFOIL,coordinates,Yes,Yes,No,No,
e378.dat,EPPLER 378 AIRFOIL,coordinates,Yes,Yes,No,No,
e379.dat,EPPLER 379 AIRFOIL,coordinates,Yes,Yes,No,No,
e385.dat,E385  (8.41%),coordinates,Yes,Yes,No,No,
e387.dat,E387,coordinates,Yes,Yes,No,No,
e392.dat,E392  (10.15%),coordinates,Yes,Yes,No,No,
e393.dat,EPPLER 393 AIRFOIL,coordinates,Yes,Yes,No,No,
e395.dat,EPPLER 395 AIRFOIL,coordinates,Yes,Yes,No,No,
e396.dat,EPPLER 396 AIRFOIL,coordinates,Yes,Yes,No,No,
e397.dat,EPPLER 397 AIRFOIL,coordinates,Yes,Yes,No,No,
e398.dat,EPPLER 398 AIRFOIL,coordinates,Yes,Yes,No,No,
e399.dat,EPPLER 399 AIRFOIL,coordinates,Yes,Yes,No,No,
e403.dat,EPPLER 403 AIRFOIL,coordinates,Yes,Yes,No,No,
e407.dat,EPPLER 407 AIRFOIL,coordinates,Yes,Yes,No,No,
e417.dat,EPPLER 417 AIRFOIL,coordinates,Yes,Yes,No,No,
e420.dat,EPPLER 420 AIRFOIL,coordinates,Yes,Yes,No,No,
e421.dat,EPPLER 421 AIRFOIL,coordinates,Yes,Yes,No,No,
e422.dat,EPPLER 422 AIRFOIL,coordinates,Yes,Yes,No,No,
e423.dat,E423,coordinates,Yes,Yes,No,No,
e426.dat,EPPLER 426 AIRFOIL,coordinates,Yes,Yes,No,No,
e428.dat,EPPLER 428 AIRFOIL,coordinates,Yes,Yes,No,No,
e431.dat,EPPLER 431 AIRFOIL,coordinates,Yes,Yes,No,No,
e432.dat,EPPLER 432 AIRFOIL,coordinates,Yes,Yes,No,No,
e433.dat,EPPLER 433 AIRFOIL,coordinates,Yes,Yes,No,No,
e434.dat,EPPLER 434 AIRFOIL,coordinates,Yes,Yes,No,No,
e435.dat,EPPLER 435 AIRFOIL,coordinates,Yes,Yes,No,No,
e471.dat,E471  (6.25%),coordinates,Yes,Yes,No,No,
e472.dat,EPPLER 472 AIRFOIL,coordinates,Yes,Yes,No,No,
e473.dat,EPPLER 473 AIRFOIL,coordinates,Yes,Yes,No,No,
e474.dat,E474  (14.09%),coordinates,Yes,Yes,No,No,
e475.dat,E475  (15.01%),coordinates,Yes,Yes,No,No,
e476.dat,E476,coordinates,Yes,Yes,No,No,
e477.dat,E477,coordinates,Yes,Yes,No,No,
e478.dat,E487,coordinates,Yes,Yes,No,No,
e479.dat,EPPLER 479 AIRFOIL,coordinates,Yes,Yes,No,No,
e485.dat,EPPLER 485 AIRFOIL,coordinates,Yes,Yes,No,No,
e49.dat,EPPLER 49 AIRFOIL,coordinates,Yes,Yes,No,No,
e502.dat,EPPLER 502 AIRFOIL,coordinates,Yes,Yes,No,No,
e520.dat,EPPLER 520 AIRFOIL,coordinates,Yes,Yes,No,No,
e521.dat,EPPLER 521 AIRFOIL,coordinates,Yes,Yes,No,No,
e540.dat,EPPLER 540 AIRFOIL,coordinates,Yes,Yes,No,No,
e541.dat,EPPLER 541 AIRFOIL,coordinates,Yes,Yes,No,No,
e542.dat,EPPLER 542 AIRFOIL,coordinates,Yes,Yes,No,No,
e543.dat,EPPLER 543 AIRFOIL,coordinates,Yes,Yes,No,No,
e544.dat,EPPLER 544 AIRFOIL,coordinates,Yes,Yes,No,No,
e545.dat,EPPLER 545 AIRFOIL,coordinates,Yes,Yes,No,No,
e546.dat,EPPLER 546 AIRFOIL,coordinates,Yes,Yes,No,No,
e547.dat,EPPLER 547 AIRFOIL,coordinates,Yes,Yes,No,No,
